//±аєЕЈЁµАѕЯidЈ©	µАѕЯГы	ѕ«Б¶МШР§±нПЦАаРН1   ЈЁ№Ґ»чПµЈ©	ѕ«Б¶МШР§±нПЦАаРН2   (Defensive Series)	ѕ«Б¶МШР§±нПЦАаРН3   (Poison Series)	ѕ«Б¶МШР§±нПЦАаРН4   (ФцТжЧґМ¬ПµЈ©	ѕ«Б¶МШР§±нПЦАаРН5   ЈЁ№Ґ»чПµЈ«·АУщПµЈ©	ѕ«Б¶МШР§±нПЦАаРН6      ЈЁ№Ґ»чПµЈ«¶ѕё±ЧґМ¬ПµЈ©	ѕ«Б¶МШР§±нПЦАаРН7   ЈЁ№Ґ»чПµЈ«ФцТжЧґМ¬ПµЈ©	ѕ«Б¶МШР§±нПЦАаРН8   ЈЁ·АУщ+¶ѕЈ©	ѕ«Б¶МШР§±нПЦАаРН9   ЈЁ·АУщ+ФцТжЈ©	ѕ«Б¶МШР§±нПЦАаРН10   ЈЁ¶ѕ+ФцТжЈ©	ѕ«Б¶МШР§±нПЦАаРН11   ЈЁ№Ґ»ч+·АУщ+¶ѕЈ©	ѕ«Б¶МШР§±нПЦАаРН12   ЈЁ№Ґ»ч+·АУщ+ФцТжЈ©	ѕ«Б¶МШР§±нПЦАаРН13   ЈЁ№Ґ»ч+¶ѕ+ФцТжЈ©	ѕ«Б¶МШР§±нПЦАаРН14   ЈЁ·АУщ+¶ѕ+ФцТжЈ©	Lance's forging base effect value	їЁОчЛ№ѕ«Б·Р§№ы»щЧјЦµ	·ЖАы¶ыѕ«Б·Р§№ы»щЧјЦµ	°¬ГЧѕ«Б·Р§№ы»щЧјЦµ
5017	Щетка Ланга	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5018	Виньон	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5019	Викторианец	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5020	Ружье Виньона	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5021	Ружье Виктории	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5022	Орудие мертвеца	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5023	Воздушное орудие	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.7	1.1	1	0.7
5024	Лук Виньона	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
5025	Лук Виктории	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
5026	Ледяной клинок	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
5027	Огненный клинок	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
5028	Ледяной нож	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5029	Огненный нож	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.7	1.1	1	0.7
5030	Нож мертвеца	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
5031	Палочки для еды	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
5032	Огненный скрежет	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
5033	Ледяной скрежет	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
5034	Огненный посох	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5035	Ледяной посох	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5036	Посох мертвеца	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5037	Суповая ложка	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
5038	Складной стул	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
5039	Ветвь очищения	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
5040	Сковорода бабушки Спички	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5041	Учебный лук	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.7	1.1	1	0.7
5042	Учебный посох 1	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.6	1	1	0.7
5043	Учебный посох 2	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.6	1	1	0.7
5044	Учебная палка Ами	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0.6	1	1	0.7
5045	Учебная палка Ланса	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
5046	Учебная палка Филисс	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5047	Учебник Ланса	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5048	Учебник Карциза	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5993	Лезвие смерти	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
5994	Крюк пирата	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0,6	1	1	0,7
5995	Световой меч	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0,6	1	1	0,7
5996	Пакет	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0,6	1	1	0,7
5997	Кинжал	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0,6	1	1	0,7
5998	Тесак	4	10	0	13	30	0	29	0	28	0	0	31	0	0	0,6	1	1	0,7
5999	Бамбук	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0,6	1	1	0,7
6000	Бейсбольная бита	3	9	0	12	26	0	25	0	24	0	0	27	0	0	0,6	1	1	0,7
6001	Световой посох	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0,6	1	1	0,7
6002	Банан	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0,6	1	1	0,7
6003	Плазмо-пушка	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0,6	1	1	0,7
6004	Базука	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0,6	1	1	0,7
6005	Лазерная пушка	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0,6	1	1	0,7
6006	Леденец	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0,6	1	1	0,7
6007	Флаг	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0,6	1	1	0,7
6008	Веер	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0,6	1	1	0,7
